kernel,InputData,advise0,advise1,advise2
cuda_compute_flux,097K,"[[0.18245946938775506, 0.18218779591836737, 0.18229148979591833, 0.18222269387755102, 0.1825260612244898, 0.18249561224489794, 0.18223942857142855], 6]","[[0.14619495918367345, 0.14668677551020404, 0.14630908163265305, 0.14624171428571428, 0.2720238571428572, 0.27236816326530605, 0.14659799999999998], 0]","[[0.066218306122449, 0.06638185714285715, 0.06622595918367347, 0.06632020408163265, 0.4721775714285714, 0.4726891020408163, 0.06640955102040817], 2]"
cuda_compute_flux,193K,"[[0.3529995918367348, 0.3534157142857143, 0.3534390612244898, 0.3533306734693878, 0.3529544693877551, 0.3530545306122449, 0.35336781632653064], 0]","[[0.2812041020408163, 0.2812744897959184, 0.2810683877551021, 0.28127055102040815, 0.5329242857142857, 0.5335327346938775, 0.281287306122449], 1]","[[0.12049985714285716, 0.12096038775510205, 0.12075420408163262, 0.12097295918367347, 0.9336189183673469, 0.9347213265306125, 0.12103420408163265], 2]"
cuda_compute_flux,missile0.2M,"[[0.4273420816326531, 0.4274373265306122, 0.42721824489795923, 0.4273668571428572, 0.4271635918367347, 0.42718148979591847, 0.4272455510204082], 2]","[[0.3414876122448979, 0.34158987755102044, 0.34228110204081635, 0.34153216326530605, 0.6409338979591837, 0.6415712244897961, 0.34155926530612246], 1]","[[0.1483788367346939, 0.14898661224489798, 0.14897391836734697, 0.14903057142857143, 1.1227882857142857, 1.1236609387755103, 0.14913597959183672], 6]"
cuda_compute_step_factor,097K,"[[0.00397265306122449, 0.005205714285714285, 0.004330612244897958, 0.004737551020408164, 0.040355020408163265, 0.04078577551020409, 0.0051142857142857144], 0]","[[0.014676877551020411, 0.014712224489795917, 0.014689714285714285, 0.014690244897959188, 0.015302714285714286, 0.0157035306122449, 0.014726306122448978], 0]","[[0.01524538775510204, 0.014942183673469391, 0.014945408163265304, 0.014961530612244898, 0.01471822448979592, 0.014721428571428573, 0.014967448979591836], 5]"
cuda_compute_step_factor,193K,"[[0.008735510204081634, 0.009443367346938774, 0.00941204081632653, 0.009406326530612243, 0.075783693877551, 0.07640495918367347, 0.009438163265306124], 0]","[[0.028324734693877546, 0.028412081632653054, 0.028417102040816322, 0.02841769387755102, 0.028305367346938778, 0.028355959183673476, 0.02839112244897959], 0]","[[0.028548877551020403, 0.02836951020408163, 0.028384020408163263, 0.028389367346938775, 0.02826191836734693, 0.02827475510204082, 0.02839561224489796], 4]"
cuda_compute_step_factor,missile0.2M,"[[0.012165999999999996, 0.012720346938775507, 0.012707489795918379, 0.012743795918367348, 0.09084330612244901, 0.091581, 0.012765918367346937], 0]","[[0.035092428571428566, 0.035070081632653065, 0.03519297959183673, 0.0350789387755102, 0.03499975510204082, 0.03500936734693877, 0.03508430612244898], 0]","[[0.0352405918367347, 0.03508851020408164, 0.03507961224489796, 0.03508300000000001, 0.034980285714285714, 0.03496834693877551, 0.03508751020408163], 5]"
cuda_initialize_variables,097K,"[[0.005466326530612246, 0.005478979591836734, 0.005458979591836735, 0.005497142857142857, 0.005439795918367349, 0.005467551020408165, 0.005478163265306123], 4]","[[0.005589591836734694, 0.005444489795918369, 0.005461224489795917, 0.005452040816326531, 0.005457142857142857, 0.0054606122448979605, 0.005421836734693881], 6]","[[0.005742244897959182, 0.005412857142857141, 0.005440612244897959, 0.005421836734693878, 0.005430000000000002, 0.005419183673469388, 0.005420204081632654], 1]"
cuda_initialize_variables,193K,"[[0.007874897959183674, 0.007748979591836733, 0.007748979591836736, 0.007743265306122449, 0.00774142857142857, 0.007767755102040818, 0.007765510204081633], 2]","[[0.007913673469387756, 0.007763061224489797, 0.007736734693877551, 0.0077410204081632674, 0.007739999999999999, 0.0077375510204081635, 0.007758775510204081], 2]","[[0.00804857142857143, 0.00772734693877551, 0.007718163265306122, 0.007722653061224489, 0.007684897959183672, 0.007747755102040817, 0.007741428571428569], 1]"
cuda_initialize_variables,missile0.2M,"[[0.008728979591836734, 0.00869612244897959, 0.008726530612244895, 0.008672653061224488, 0.008752244897959184, 0.00868795918367347, 0.00874285714285714], 1]","[[0.008799183673469388, 0.008689999999999998, 0.008726530612244893, 0.00868122448979592, 0.008704081632653059, 0.008678979591836736, 0.008727346938775513], 6]","[[0.008903469387755105, 0.008684081632653062, 0.008663673469387753, 0.008670000000000002, 0.008713469387755099, 0.008691836734693878, 0.008680816326530612], 2]"
cuda_time_step,097K,"[[0.007168979591836734, 0.007126530612244896, 0.007125714285714283, 0.007131428571428572, 0.007102244897959184, 0.00710816326530612, 0.007126326530612246], 4]","[[0.007271428571428572, 0.007264693877551018, 0.007264285714285712, 0.007261428571428571, 0.0067861224489795926, 0.006788367346938776, 0.0072530612244897956], 5]","[[0.008106734693877552, 0.00730408163265306, 0.007293673469387754, 0.007308979591836733, 0.0062848979591836746, 0.006281020408163264, 0.007309999999999998], 4]"
cuda_time_step,193K,"[[0.017765877551020406, 0.01764816326530612, 0.017638734693877552, 0.017633571428571432, 0.017570448979591837, 0.01756734693877551, 0.01763869387755102], 5]","[[0.0178865306122449, 0.017786469387755105, 0.017781163265306123, 0.017784795918367347, 0.017220959183673473, 0.017223836734693878, 0.01777908163265306], 4]","[[0.017992469387755106, 0.017824775510204085, 0.01780026530612245, 0.017828387755102044, 0.017098714285714283, 0.017100632653061228, 0.017817591836734693], 5]"
cuda_time_step,missile0.2M,"[[0.020438897959183674, 0.020653408163265302, 0.020648795918367345, 0.020647653061224486, 0.020601244897959177, 0.02059783673469388, 0.0206495306122449], 0]","[[0.02054177551020408, 0.02052855102040816, 0.020570142857142853, 0.020541877551020406, 0.020754469387755103, 0.02075442857142857, 0.020546122448979586], 6]","[[0.02078042857142857, 0.020548510204081626, 0.020560510204081638, 0.02055502040816326, 0.020616857142857138, 0.02061889795918367, 0.020557142857142854], 6]"
